"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"1997 week 25";"2391";"476";"868";"1047"
"1997 week 26";"2372";"465";"852";"1055"
"1997 week 27";"2409";"467";"856";"1086"
"1997 week 28";"2486";"504";"889";"1093"
"1997 week 29";"2402";"475";"818";"1109"
"1997 week 30";"2369";"479";"821";"1069"
"1997 week 31";"2352";"485";"802";"1065"
"1997 week 32";"2434";"504";"850";"1080"
"1997 week 33";"2943";"526";"984";"1433"
"1997 week 34";"2809";"503";"977";"1329"
"1997 week 35";"2488";"431";"883";"1174"
"1997 week 36";"2307";"455";"839";"1013"
"1997 week 37";"2402";"457";"902";"1043"
"1997 week 38";"2433";"491";"905";"1037"
"1997 week 39";"2360";"455";"887";"1018"
"1997 week 40";"2386";"477";"877";"1032"
"1997 week 41";"2557";"500";"873";"1184"
"1997 week 42";"2441";"493";"864";"1084"
"1997 week 43";"2549";"485";"909";"1155"
"1997 week 44";"2450";"445";"900";"1105"
"1997 week 45";"2530";"508";"875";"1147"
"1997 week 46";"2408";"472";"846";"1090"
"1997 week 47";"2446";"522";"894";"1030"
"1997 week 48";"2663";"543";"910";"1210"
"1997 week 49";"2538";"510";"918";"1110"
"1997 week 50";"2670";"494";"950";"1226"
"1997 week 51";"2738";"537";"963";"1238"
"1997 week 52";"2595";"464";"902";"1229"
"1997 week 53 (3 dagen)";"1124";"192";"413";"519"
"1997";"135783";"25715";"47485";"62583"
"1998 week 1 (4 dagen)";"1551";"270";"531";"750"
"1998 week 2";"2558";"432";"804";"1322"
"1998 week 3";"2418";"451";"811";"1156"
"1998 week 4";"2530";"475";"846";"1209"
"1998 week 5";"2691";"447";"918";"1326"
"1998 week 6";"2615";"452";"918";"1245"
"1998 week 7";"2695";"464";"927";"1304"
"1998 week 8";"2719";"477";"951";"1291"
"1998 week 9";"2627";"533";"889";"1205"
