"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"2005 week 27";"2302";"481";"721";"1100"
"2005 week 28";"2382";"465";"756";"1161"
"2005 week 29";"2326";"443";"733";"1150"
"2005 week 30";"2318";"456";"772";"1090"
"2005 week 31";"2314";"479";"787";"1048"
"2005 week 32";"2244";"437";"749";"1058"
"2005 week 33";"2394";"495";"771";"1128"
"2005 week 34";"2361";"496";"753";"1112"
"2005 week 35";"2423";"539";"754";"1130"
"2005 week 36";"2392";"467";"744";"1181"
"2005 week 37";"2323";"437";"800";"1086"
"2005 week 38";"2219";"461";"704";"1054"
"2005 week 39";"2342";"451";"767";"1124"
"2005 week 40";"2397";"445";"795";"1157"
"2005 week 41";"2416";"460";"770";"1186"
"2005 week 42";"2524";"494";"813";"1217"
"2005 week 43";"2499";"464";"845";"1190"
"2005 week 44";"2322";"471";"774";"1077"
"2005 week 45";"2417";"450";"782";"1185"
"2005 week 46";"2489";"469";"827";"1193"
"2005 week 47";"2692";"564";"828";"1300"
"2005 week 48";"2669";"482";"874";"1313"
"2005 week 49";"2705";"493";"859";"1353"
"2005 week 50";"2714";"517";"864";"1333"
"2005 week 51";"2676";"474";"858";"1344"
"2005 week 52 (6 dagen)";"2348";"412";"760";"1176"
"2005";"136402";"25306";"42916";"68180"
"2006 week 1";"2746";"472";"814";"1460"
"2006 week 2";"2834";"507";"811";"1516"
"2006 week 3";"2770";"487";"846";"1437"
"2006 week 4";"2747";"479";"802";"1466"
"2006 week 5";"2838";"521";"815";"1502"
"2006 week 6";"2819";"489";"866";"1464"
"2006 week 7";"2841";"488";"814";"1539"
"2006 week 8";"2856";"519";"861";"1476"
"2006 week 9";"2880";"501";"864";"1515"
"2006 week 10";"2920";"498";"819";"1603"
"2006 week 11";"2762";"455";"853";"1454"
"2006 week 12";"2920";"503";"860";"1557"
"2006 week 13";"2867";"486";"830";"1551"
"2006 week 14";"2646";"446";"831";"1369"
"2006 week 15";"2743";"463";"834";"1446"
"2006 week 16";"2684";"514";"834";"1336"
"2006 week 17";"2576";"492";"778";"1306"
"2006 week 18";"2559";"454";"806";"1299"
"2006 week 19";"2591";"487";"818";"1286"
"2006 week 20";"2450";"467";"721";"1262"
"2006 week 21";"2349";"440";"730";"1179"
"2006 week 22";"2404";"455";"767";"1182"
"2006 week 23";"2511";"492";"748";"1271"
"2006 week 24";"2682";"499";"798";"1385"
"2006 week 25";"2526";"461";"797";"1268"
"2006 week 26";"2390";"474";"750";"1166"
"2006 week 27";"2722";"501";"822";"1399"
"2006 week 28";"2508";"493";"778";"1237"
"2006 week 29";"2829";"495";"796";"1538"
"2006 week 30";"3046";"487";"889";"1670"
"2006 week 31";"2352";"419";"687";"1246"
"2006 week 32";"2332";"443";"753";"1136"
"2006 week 33";"2342";"477";"706";"1159"
"2006 week 34";"2396";"491";"782";"1123"
"2006 week 35";"2375";"450";"767";"1158"
"2006 week 36";"2379";"458";"775";"1146"
"2006 week 37";"2633";"498";"826";"1309"
"2006 week 38";"2382";"448";"741";"1193"
"2006 week 39";"2292";"459";"701";"1132"
"2006 week 40";"2278";"471";"731";"1076"
"2006 week 41";"2301";"469";"734";"1098"
"2006 week 42";"2394";"459";"792";"1143"
"2006 week 43";"2407";"486";"768";"1153"
"2006 week 44";"2370";"458";"742";"1170"
"2006 week 45";"2555";"466";"865";"1224"
"2006 week 46";"2559";"488";"796";"1275"
"2006 week 47";"2550";"516";"800";"1234"
"2006 week 48";"2592";"486";"844";"1262"
"2006 week 49";"2542";"477";"832";"1233"
"2006 week 50";"2564";"511";"833";"1220"
"2006 week 51";"2726";"504";"843";"1379"
"2006 week 52";"2683";"462";"842";"1379"
"2006";"135372";"24978";"41630";"68764"
"2007 week 1";"2802";"496";"819";"1487"
"2007 week 2";"2837";"482";"869";"1486"
"2007 week 3";"2694";"487";"796";"1411"
"2007 week 4";"2680";"496";"796";"1388"
"2007 week 5";"2717";"471";"796";"1450"
"2007 week 6";"2718";"475";"833";"1410"
"2007 week 7";"2716";"481";"829";"1406"
"2007 week 8";"2706";"458";"794";"1454"
"2007 week 9";"2829";"465";"890";"1474"
"2007 week 10";"2828";"457";"855";"1516"
"2007 week 11";"2650";"475";"768";"1407"
"2007 week 12";"2642";"453";"806";"1383"
"2007 week 13";"2662";"462";"815";"1385"
"2007 week 14";"2528";"468";"745";"1315"
"2007 week 15";"2615";"455";"864";"1296"
"2007 week 16";"2547";"469";"747";"1331"
"2007 week 17";"2619";"477";"805";"1337"
"2007 week 18";"2493";"462";"715";"1316"
"2007 week 19";"2494";"411";"783";"1300"
"2007 week 20";"2360";"465";"724";"1171"
"2007 week 21";"2442";"476";"761";"1205"
"2007 week 22";"2381";"470";"709";"1202"
"2007 week 23";"2577";"456";"807";"1314"
"2007 week 24";"2422";"441";"744";"1237"
"2007 week 25";"2392";"456";"735";"1201"
"2007 week 26";"2366";"464";"732";"1170"
"2007 week 27";"2434";"446";"817";"1171"
"2007 week 28";"2412";"436";"737";"1239"
"2007 week 29";"2288";"425";"700";"1163"
"2007 week 30";"2354";"477";"757";"1120"
"2007 week 31";"2367";"429";"740";"1198"
"2007 week 32";"2464";"461";"761";"1242"
"2007 week 33";"2288";"447";"708";"1133"
"2007 week 34";"2371";"484";"712";"1175"
"2007 week 35";"2228";"460";"687";"1081"
"2007 week 36";"2323";"480";"697";"1146"
"2007 week 37";"2369";"451";"745";"1173"
"2007 week 38";"2276";"455";"733";"1088"
"2007 week 39";"2316";"451";"701";"1164"
"2007 week 40";"2378";"437";"761";"1180"
"2007 week 41";"2488";"466";"823";"1199"
"2007 week 42";"2531";"462";"840";"1229"
"2007 week 43";"2508";"466";"765";"1277"
"2007 week 44";"2599";"470";"807";"1322"
"2007 week 45";"2567";"497";"806";"1264"
"2007 week 46";"2587";"516";"781";"1290"
"2007 week 47";"2663";"483";"841";"1339"
"2007 week 48";"2804";"501";"891";"1412"
"2007 week 49";"2748";"503";"799";"1446"
"2007 week 50";"2722";"491";"826";"1405"
"2007 week 51";"2839";"534";"862";"1443"
"2007 week 52";"2964";"522";"873";"1569"
"2007 week 53 (1 dag)";"417";"69";"120";"228"
"2007";"133022";"24447";"40827";"67748"
"2008 week 1 (6 dagen)";"2532";"402";"708";"1422"
"2008 week 2";"3045";"523";"820";"1702"
"2008 week 3";"2928";"493";"802";"1633"
"2008 week 4";"2773";"524";"802";"1447"
"2008 week 5";"2733";"477";"758";"1498"
"2008 week 6";"2676";"475";"750";"1451"
"2008 week 7";"2703";"476";"811";"1416"
"2008 week 8";"2821";"494";"804";"1523"
"2008 week 9";"2775";"462";"772";"1541"
"2008 week 10";"2840";"498";"779";"1563"
"2008 week 11";"2718";"499";"759";"1460"
"2008 week 12";"2664";"478";"801";"1385"
"2008 week 13";"2700";"458";"771";"1471"
"2008 week 14";"2712";"473";"766";"1473"
"2008 week 15";"2643";"446";"793";"1404"
"2008 week 16";"2675";"472";"784";"1419"
"2008 week 17";"2585";"455";"723";"1407"
"2008 week 18";"2566";"468";"770";"1328"
"2008 week 19";"2718";"493";"796";"1429"
"2008 week 20";"2555";"447";"754";"1354"
"2008 week 21";"2544";"464";"722";"1358"
"2008 week 22";"2457";"457";"734";"1266"
"2008 week 23";"2394";"455";"713";"1226"
"2008 week 24";"2462";"468";"717";"1277"
"2008 week 25";"2391";"463";"718";"1210"
"2008 week 26";"2514";"484";"760";"1270"
"2008 week 27";"2507";"429";"793";"1285"
"2008 week 28";"2348";"428";"713";"1207"
"2008 week 29";"2413";"485";"709";"1219"
"2008 week 30";"2368";"431";"725";"1212"
"2008 week 31";"2572";"487";"776";"1309"
"2008 week 32";"2419";"490";"690";"1239"
"2008 week 33";"2312";"472";"698";"1142"
"2008 week 34";"2351";"498";"710";"1143"
"2008 week 35";"2320";"396";"749";"1175"
"2008 week 36";"2349";"421";"743";"1185"
"2008 week 37";"2350";"465";"768";"1117"
"2008 week 38";"2415";"483";"725";"1207"
"2008 week 39";"2363";"452";"743";"1168"
"2008 week 40";"2555";"465";"825";"1265"
"2008 week 41";"2383";"471";"732";"1180"
"2008 week 42";"2409";"495";"723";"1191"
"2008 week 43";"2460";"469";"740";"1251"
"2008 week 44";"2601";"475";"817";"1309"
"2008 week 45";"2504";"470";"784";"1250"
"2008 week 46";"2517";"477";"766";"1274"
"2008 week 47";"2507";"491";"761";"1255"
"2008 week 48";"2622";"541";"827";"1254"
"2008 week 49";"2693";"462";"811";"1420"
"2008 week 50";"2781";"498";"842";"1441"
"2008 week 51";"2812";"508";"862";"1442"
"2008 week 52";"2815";"505";"906";"1404"
"2008 week 53 (3 dagen)";"1266";"234";"363";"669"
"2008";"135136";"24802";"40188";"70146"
"2009 week 1 (4 dagen)";"1828";"280";"507";"1041"
"2009 week 2";"3215";"516";"935";"1764"
"2009 week 3";"3408";"533";"956";"1919"
"2009 week 4";"3218";"484";"904";"1830"
"2009 week 5";"3161";"516";"857";"1788"
"2009 week 6";"3165";"487";"877";"1801"
"2009 week 7";"2877";"448";"858";"1571"
"2009 week 8";"2854";"476";"791";"1587"
"2009 week 9";"2713";"459";"795";"1459"
"2009 week 10";"2599";"428";"767";"1404"
"2009 week 11";"2621";"469";"731";"1421"
"2009 week 12";"2619";"486";"781";"1352"
"2009 week 13";"2575";"475";"728";"1372"
"2009 week 14";"2639";"485";"794";"1360"
"2009 week 15";"2621";"439";"773";"1409"
"2009 week 16";"2617";"483";"751";"1383"
"2009 week 17";"2429";"422";"707";"1300"
"2009 week 18";"2369";"424";"688";"1257"
"2009 week 19";"2371";"447";"690";"1234"
"2009 week 20";"2450";"438";"738";"1274"
"2009 week 21";"2421";"432";"729";"1260"
"2009 week 22";"2434";"454";"758";"1222"
"2009 week 23";"2391";"442";"701";"1248"
"2009 week 24";"2446";"443";"762";"1241"
"2009 week 25";"2372";"476";"718";"1178"
"2009 week 26";"2331";"459";"695";"1177"
"2009 week 27";"2494";"472";"734";"1288"
"2009 week 28";"2378";"470";"690";"1218"
"2009 week 29";"2437";"496";"716";"1225"
"2009 week 30";"2302";"461";"674";"1167"
"2009 week 31";"2356";"466";"722";"1168"
"2009 week 32";"2348";"444";"723";"1181"
"2009 week 33";"2247";"455";"680";"1112"
"2009 week 34";"2346";"445";"698";"1203"
"2009 week 35";"2303";"483";"681";"1139"
"2009 week 36";"2300";"454";"691";"1155"
"2009 week 37";"2426";"440";"778";"1208"
"2009 week 38";"2390";"472";"742";"1176"
"2009 week 39";"2404";"468";"756";"1180"
"2009 week 40";"2393";"477";"716";"1200"
"2009 week 41";"2541";"480";"793";"1268"
"2009 week 42";"2478";"477";"780";"1221"
"2009 week 43";"2602";"496";"794";"1312"
"2009 week 44";"2565";"470";"840";"1255"
"2009 week 45";"2532";"499";"764";"1269"
"2009 week 46";"2568";"484";"798";"1286"
"2009 week 47";"2497";"463";"739";"1295"
"2009 week 48";"2436";"468";"765";"1203"
"2009 week 49";"2509";"513";"755";"1241"
"2009 week 50";"2489";"457";"790";"1242"
"2009 week 51";"2768";"511";"859";"1398"
"2009 week 52";"2811";"480";"850";"1481"
"2009 week 53 (4 dagen)";"1571";"272";"478";"821"
"2009";"134235";"24474";"39997";"69764"
"2010 week 1";"2767";"441";"763";"1563"
"2010 week 2";"2830";"466";"792";"1572"
"2010 week 3";"2846";"481";"803";"1562"
"2010 week 4";"2865";"493";"769";"1603"
"2010 week 5";"2858";"490";"827";"1541"
"2010 week 6";"2831";"467";"814";"1550"
"2010 week 7";"2900";"484";"805";"1611"
"2010 week 8";"2929";"484";"836";"1609"
"2010 week 9";"2757";"473";"792";"1492"
"2010 week 10";"2760";"483";"812";"1465"
"2010 week 11";"2686";"457";"767";"1462"
"2010 week 12";"2687";"456";"815";"1416"
"2010 week 13";"2586";"440";"755";"1391"
"2010 week 14";"2472";"428";"716";"1328"
"2010 week 15";"2583";"446";"775";"1362"
"2010 week 16";"2581";"478";"792";"1311"
"2010 week 17";"2570";"450";"772";"1348"
"2010 week 18";"2536";"452";"755";"1329"
"2010 week 19";"2687";"536";"752";"1399"
"2010 week 20";"2525";"454";"750";"1321"
"2010 week 21";"2485";"466";"741";"1278"
"2010 week 22";"2567";"460";"818";"1289"
"2010 week 23";"2502";"444";"774";"1284"
"2010 week 24";"2372";"451";"737";"1184"
"2010 week 25";"2535";"469";"769";"1297"
"2010 week 26";"2580";"452";"735";"1393"
"2010 week 27";"2653";"486";"768";"1399"
"2010 week 28";"2499";"433";"734";"1332"
"2010 week 29";"2443";"428";"719";"1296"
"2010 week 30";"2314";"436";"724";"1154"
"2010 week 31";"2289";"440";"696";"1153"
"2010 week 32";"2381";"442";"749";"1190"
"2010 week 33";"2464";"491";"756";"1217"
"2010 week 34";"2277";"400";"733";"1144"
"2010 week 35";"2416";"433";"764";"1219"
"2010 week 36";"2433";"456";"725";"1252"
"2010 week 37";"2523";"472";"754";"1297"
"2010 week 38";"2594";"478";"789";"1327"
"2010 week 39";"2498";"487";"786";"1225"
"2010 week 40";"2598";"477";"797";"1324"
"2010 week 41";"2543";"494";"759";"1290"
"2010 week 42";"2555";"494";"762";"1299"
"2010 week 43";"2609";"465";"797";"1347"
"2010 week 44";"2559";"523";"775";"1261"
"2010 week 45";"2542";"466";"759";"1317"
"2010 week 46";"2519";"446";"771";"1302"
"2010 week 47";"2542";"466";"765";"1311"
"2010 week 48";"2736";"474";"814";"1448"
"2010 week 49";"2832";"518";"840";"1474"
"2010 week 50";"2873";"476";"880";"1517"
"2010 week 51";"2830";"498";"833";"1499"
"2010 week 52 (5 dagen)";"2060";"357";"631";"1072"
"2010";"136058";"24339";"40449";"71270"
"2011 week 1";"2917";"472";"813";"1632"
"2011 week 2";"2819";"478";"781";"1560"
"2011 week 3";"2624";"443";"764";"1417"
"2011 week 4";"2620";"465";"749";"1406"
"2011 week 5";"2728";"435";"801";"1492"
"2011 week 6";"2675";"450";"789";"1436"
"2011 week 7";"2621";"448";"767";"1406"
"2011 week 8";"2651";"454";"794";"1403"
"2011 week 9";"2686";"453";"785";"1448"
"2011 week 10";"2714";"447";"782";"1485"
"2011 week 11";"2727";"431";"777";"1519"
"2011 week 12";"2686";"463";"806";"1417"
"2011 week 13";"2739";"467";"783";"1489"
"2011 week 14";"2592";"424";"767";"1401"
"2011 week 15";"2652";"460";"769";"1423"
"2011 week 16";"2694";"419";"814";"1461"
"2011 week 17";"2591";"411";"740";"1440"
"2011 week 18";"2543";"445";"723";"1375"
"2011 week 19";"2606";"460";"767";"1379"
"2011 week 20";"2551";"464";"770";"1317"
"2011 week 21";"2542";"433";"773";"1336"
"2011 week 22";"2477";"424";"725";"1328"
"2011 week 23";"2479";"473";"754";"1252"
"2011 week 24";"2489";"417";"778";"1294"
"2011 week 25";"2413";"455";"714";"1244"
"2011 week 26";"2535";"478";"757";"1300"
"2011 week 27";"2625";"513";"772";"1340"
"2011 week 28";"2513";"454";"729";"1330"
"2011 week 29";"2361";"461";"695";"1205"
"2011 week 30";"2431";"434";"747";"1250"
"2011 week 31";"2486";"425";"802";"1259"
"2011 week 32";"2356";"415";"693";"1248"
"2011 week 33";"2415";"454";"757";"1204"
"2011 week 34";"2381";"429";"703";"1249"
"2011 week 35";"2458";"452";"746";"1260"
"2011 week 36";"2520";"451";"707";"1362"
"2011 week 37";"2380";"410";"725";"1245"
"2011 week 38";"2447";"463";"723";"1261"
"2011 week 39";"2593";"441";"789";"1363"
"2011 week 40";"2474";"419";"750";"1305"
"2011 week 41";"2537";"453";"790";"1294"
"2011 week 42";"2551";"406";"796";"1349"
"2011 week 43";"2658";"447";"797";"1414"
"2011 week 44";"2653";"512";"746";"1395"
"2011 week 45";"2567";"472";"786";"1309"
"2011 week 46";"2691";"494";"812";"1385"
"2011 week 47";"2740";"483";"790";"1467"
"2011 week 48";"2782";"482";"817";"1483"
"2011 week 49";"2786";"462";"865";"1459"
"2011 week 50";"2915";"509";"808";"1598"
"2011 week 51";"2813";"450";"837";"1526"
"2011 week 52 (6 dagen)";"2413";"421";"684";"1308"
"2011";"135741";"23611";"40131";"71999"
"2012 week 1";"2930";"423";"852";"1655"
"2012 week 2";"2773";"468";"770";"1535"
"2012 week 3";"2785";"439";"766";"1580"
"2012 week 4";"2789";"407";"766";"1616"
"2012 week 5";"2815";"398";"801";"1616"
"2012 week 6";"3034";"470";"833";"1731"
"2012 week 7";"3089";"469";"834";"1786"
"2012 week 8";"3035";"430";"849";"1756"
"2012 week 9";"3061";"476";"825";"1760"
"2012 week 10";"2951";"495";"802";"1654"
"2012 week 11";"2891";"442";"859";"1590"
"2012 week 12";"2817";"424";"828";"1565"
"2012 week 13";"2793";"418";"828";"1547"
"2012 week 14";"2805";"429";"800";"1576"
"2012 week 15";"2757";"466";"799";"1492"
"2012 week 16";"2786";"471";"796";"1519"
"2012 week 17";"2773";"433";"782";"1558"
"2012 week 18";"2609";"406";"771";"1432"
"2012 week 19";"2653";"449";"778";"1426"
"2012 week 20";"2537";"387";"759";"1391"
"2012 week 21";"2727";"480";"774";"1473"
"2012 week 22";"2558";"423";"764";"1371"
"2012 week 23";"2585";"433";"750";"1402"
"2012 week 24";"2558";"427";"775";"1356"
"2012 week 25";"2574";"438";"765";"1371"
"2012 week 26";"2561";"443";"797";"1321"
"2012 week 27";"2639";"506";"750";"1383"
"2012 week 28";"2450";"454";"712";"1284"
"2012 week 29";"2422";"434";"721";"1267"
"2012 week 30";"2559";"460";"770";"1329"
"2012 week 31";"2372";"385";"683";"1304"
"2012 week 32";"2359";"400";"727";"1232"
"2012 week 33";"2548";"436";"750";"1362"
"2012 week 34";"2534";"441";"721";"1372"
"2012 week 35";"2370";"423";"724";"1223"
"2012 week 36";"2540";"453";"754";"1333"
"2012 week 37";"2474";"432";"721";"1321"
"2012 week 38";"2390";"444";"715";"1231"
"2012 week 39";"2640";"463";"828";"1349"
"2012 week 40";"2523";"453";"767";"1303"
"2012 week 41";"2681";"464";"812";"1405"
"2012 week 42";"2666";"439";"841";"1386"
"2012 week 43";"2522";"444";"778";"1300"
"2012 week 44";"2646";"449";"819";"1378"
"2012 week 45";"2691";"478";"790";"1423"
"2012 week 46";"2729";"454";"841";"1434"
"2012 week 47";"2727";"460";"839";"1428"
"2012 week 48";"2731";"466";"840";"1425"
"2012 week 49";"2772";"493";"864";"1415"
"2012 week 50";"2911";"484";"898";"1529"
"2012 week 51";"2860";"487";"869";"1504"
"2012 week 52";"3003";"502";"906";"1595"
"2012 week 53 (1 dag)";"397";"82";"100";"215"
"2012";"140813";"23398";"41372";"76043"
"2013 week 1 (6 dagen)";"2550";"400";"732";"1418"
"2013 week 2";"3038";"463";"865";"1710"
"2013 week 3";"3011";"467";"851";"1693"
"2013 week 4";"3082";"491";"855";"1736"
"2013 week 5";"3192";"487";"875";"1830"
"2013 week 6";"3143";"475";"878";"1790"
"2013 week 7";"3033";"446";"804";"1783"
"2013 week 8";"3211";"464";"892";"1855"
"2013 week 9";"3170";"455";"845";"1870"
"2013 week 10";"3293";"457";"871";"1965"
"2013 week 11";"3039";"441";"862";"1736"
"2013 week 12";"3038";"445";"865";"1728"
"2013 week 13";"3067";"434";"854";"1779"
"2013 week 14";"2974";"446";"859";"1669"
"2013 week 15";"3059";"472";"819";"1768"
"2013 week 16";"2859";"432";"854";"1573"
"2013 week 17";"2727";"411";"819";"1497"
"2013 week 18";"2560";"398";"732";"1430"
"2013 week 19";"2652";"434";"771";"1447"
"2013 week 20";"2571";"408";"781";"1382"
"2013 week 21";"2499";"436";"782";"1281"
"2013 week 22";"2601";"447";"789";"1365"
"2013 week 23";"2577";"434";"772";"1371"
"2013 week 24";"2498";"414";"755";"1329"
"2013 week 25";"2539";"454";"754";"1331"
"2013 week 26";"2493";"407";"741";"1345"
"2013 week 27";"2533";"432";"761";"1340"
"2013 week 28";"2461";"407";"754";"1300"
"2013 week 29";"2488";"438";"740";"1310"
"2013 week 30";"2724";"436";"836";"1452"
"2013 week 31";"2486";"404";"770";"1312"
"2013 week 32";"2389";"416";"706";"1267"
"2013 week 33";"2442";"406";"723";"1313"
"2013 week 34";"2402";"418";"722";"1262"
"2013 week 35";"2436";"398";"749";"1289"
"2013 week 36";"2477";"424";"757";"1296"
"2013 week 37";"2311";"425";"678";"1208"
"2013 week 38";"2498";"447";"774";"1277"
"2013 week 39";"2369";"378";"775";"1216"
"2013 week 40";"2576";"456";"763";"1357"
"2013 week 41";"2604";"424";"795";"1385"
"2013 week 42";"2543";"451";"809";"1283"
"2013 week 43";"2679";"451";"793";"1435"
"2013 week 44";"2469";"449";"748";"1272"
"2013 week 45";"2503";"395";"768";"1340"
"2013 week 46";"2571";"436";"827";"1308"
"2013 week 47";"2565";"461";"798";"1306"
"2013 week 48";"2743";"455";"824";"1464"
"2013 week 49";"2598";"425";"778";"1395"
"2013 week 50";"2590";"405";"776";"1409"
"2013 week 51";"2787";"430";"884";"1473"
"2013 week 52";"2753";"469";"814";"1470"
"2013 week 53 (2 dagen)";"772";"107";"249";"416"
"2013";"141245";"22761";"41648";"76836"
"2014 week 1 (5 dagen)";"1994";"298";"611";"1085"
"2014 week 2";"2819";"434";"828";"1557"
"2014 week 3";"2740";"433";"783";"1524"
"2014 week 4";"2710";"421";"765";"1524"
"2014 week 5";"2708";"352";"770";"1586"
"2014 week 6";"2855";"449";"826";"1580"
"2014 week 7";"2796";"444";"815";"1537"
"2014 week 8";"2753";"414";"811";"1528"
"2014 week 9";"2713";"411";"738";"1564"
"2014 week 10";"2763";"445";"757";"1561"
"2014 week 11";"2770";"424";"835";"1511"
"2014 week 12";"2662";"427";"757";"1478"
"2014 week 13";"2690";"410";"789";"1491"
"2014 week 14";"2707";"397";"817";"1493"
"2014 week 15";"2592";"392";"727";"1473"
"2014 week 16";"2609";"408";"761";"1440"
"2014 week 17";"2610";"423";"768";"1419"
"2014 week 18";"2528";"407";"744";"1377"
"2014 week 19";"2618";"423";"817";"1378"
"2014 week 20";"2620";"443";"805";"1372"
"2014 week 21";"2559";"416";"732";"1411"
"2014 week 22";"2511";"402";"752";"1357"
"2014 week 23";"2499";"403";"745";"1351"
"2014 week 24";"2428";"384";"699";"1345"
"2014 week 25";"2442";"398";"738";"1306"
"2014 week 26";"2483";"378";"766";"1339"
"2014 week 27";"2653";"448";"773";"1432"
"2014 week 28";"2569";"451";"725";"1393"
"2014 week 29";"2809";"611";"828";"1370"
"2014 week 30";"2659";"416";"806";"1437"
"2014 week 31";"2501";"413";"755";"1333"
"2014 week 32";"2540";"414";"742";"1384"
"2014 week 33";"2423";"396";"729";"1298"
"2014 week 34";"2478";"393";"781";"1304"
"2014 week 35";"2678";"463";"781";"1434"
"2014 week 36";"2630";"430";"823";"1377"
"2014 week 37";"2529";"443";"761";"1325"
"2014 week 38";"2594";"410";"790";"1394"
"2014 week 39";"2483";"392";"782";"1309"
"2014 week 40";"2639";"444";"808";"1387"
"2014 week 41";"2615";"429";"780";"1406"
"2014 week 42";"2646";"440";"808";"1398"
"2014 week 43";"2562";"395";"817";"1350"
"2014 week 44";"2647";"442";"825";"1380"
"2014 week 45";"2650";"436";"781";"1433"
"2014 week 46";"2779";"434";"825";"1520"
"2014 week 47";"2777";"436";"850";"1491"
"2014 week 48";"2782";"425";"853";"1504"
"2014 week 49";"2868";"452";"865";"1551"
"2014 week 50";"3097";"474";"885";"1738"
"2014 week 51";"3129";"477";"929";"1723"
"2014 week 52";"2962";"393";"866";"1703"
"2014 week 53 (3 dagen)";"1345";"191";"385";"769"
"2014";"139223";"22184";"41309";"75730"
"2015 week 1 (4 dagen)";"1910";"251";"511";"1148"
"2015 week 2";"3429";"443";"958";"2028"
"2015 week 3";"3377";"432";"885";"2060"
"2015 week 4";"3353";"473";"887";"1993"
"2015 week 5";"3322";"417";"902";"2003"
"2015 week 6";"3272";"447";"897";"1928"
"2015 week 7";"3311";"432";"928";"1951"
"2015 week 8";"3381";"454";"930";"1997"
"2015 week 9";"3207";"416";"884";"1907"
"2015 week 10";"3222";"452";"885";"1885"
"2015 week 11";"3086";"442";"895";"1749"
"2015 week 12";"3052";"478";"866";"1708"
"2015 week 13";"3084";"421";"884";"1779"
"2015 week 14";"2839";"402";"856";"1581"
"2015 week 15";"2888";"431";"831";"1626"
"2015 week 16";"2893";"430";"860";"1603"
"2015 week 17";"2829";"429";"831";"1569"
"2015 week 18";"2674";"402";"839";"1433"
"2015 week 19";"2741";"434";"787";"1520"
"2015 week 20";"2721";"410";"838";"1473"
"2015 week 21";"2566";"388";"754";"1424"
"2015 week 22";"2660";"433";"801";"1426"
"2015 week 23";"2595";"398";"775";"1422"
"2015 week 24";"2680";"363";"860";"1457"
"2015 week 25";"2559";"384";"805";"1370"
"2015 week 26";"2547";"403";"782";"1362"
"2015 week 27";"2848";"455";"825";"1568"
"2015 week 28";"2587";"399";"754";"1434"
"2015 week 29";"2567";"455";"783";"1329"
"2015 week 30";"2548";"420";"786";"1342"
"2015 week 31";"2490";"395";"794";"1301"
"2015 week 32";"2544";"405";"839";"1300"
"2015 week 33";"2529";"388";"746";"1395"
"2015 week 34";"2519";"367";"779";"1373"
"2015 week 35";"2527";"428";"786";"1313"
"2015 week 36";"2510";"393";"764";"1353"
"2015 week 37";"2599";"437";"790";"1372"
"2015 week 38";"2633";"416";"772";"1445"
"2015 week 39";"2683";"439";"838";"1406"
"2015 week 40";"2742";"468";"835";"1439"
"2015 week 41";"2690";"442";"807";"1441"
"2015 week 42";"2712";"404";"828";"1480"
"2015 week 43";"2832";"441";"902";"1489"
"2015 week 44";"2824";"414";"840";"1570"
"2015 week 45";"2692";"461";"829";"1402"
"2015 week 46";"2599";"400";"818";"1381"
"2015 week 47";"2806";"450";"868";"1488"
"2015 week 48";"2721";"431";"863";"1427"
"2015 week 49";"2759";"445";"834";"1480"
"2015 week 50";"2844";"446";"889";"1509"
"2015 week 51";"2881";"407";"899";"1575"
"2015 week 52";"2592";"397";"769";"1426"
"2015 week 53 (4 dagen)";"1658";"269";"497";"892"
"2015";"147134";"22137";"43665";"81332"
"2016 week 1";"3173";"463";"920";"1790"
"2016 week 2";"3075";"445";"863";"1767"
"2016 week 3";"3062";"432";"882";"1748"
"2016 week 4";"3201";"446";"874";"1881"
"2016 week 5";"3103";"455";"946";"1702"
"2016 week 6";"3036";"434";"907";"1695"
"2016 week 7";"3027";"448";"893";"1686"
"2016 week 8";"3319";"471";"936";"1912"
"2016 week 9";"3185";"479";"925";"1781"
"2016 week 10";"3151";"433";"896";"1822"
"2016 week 11";"3062";"485";"884";"1693"
"2016 week 12";"3028";"444";"896";"1688"
"2016 week 13";"3037";"437";"924";"1676"
"2016 week 14";"3010";"428";"866";"1716"
"2016 week 15";"2767";"395";"829";"1543"
"2016 week 16";"2751";"421";"824";"1506"
"2016 week 17";"2742";"407";"763";"1572"
"2016 week 18";"2754";"397";"821";"1536"
"2016 week 19";"2952";"424";"888";"1640"
"2016 week 20";"2671";"348";"779";"1544"
"2016 week 21";"2713";"421";"764";"1528"
"2016 week 22";"2682";"390";"821";"1471"
"2016 week 23";"2587";"378";"757";"1452"
"2016 week 24";"2620";"436";"771";"1413"
"2016 week 25";"2597";"412";"769";"1416"
"2016 week 26";"2609";"405";"821";"1383"
"2016 week 27";"2693";"407";"804";"1482"
"2016 week 28";"2627";"388";"743";"1496"
"2016 week 29";"2753";"428";"842";"1483"
"2016 week 30";"2542";"397";"765";"1380"
"2016 week 31";"2500";"416";"758";"1326"
"2016 week 32";"2558";"420";"775";"1363"
"2016 week 33";"2568";"411";"779";"1378"
"2016 week 34";"2701";"414";"857";"1430"
